date,volume,open,high,low,close
105/03/01,9229363,62.3,64.9,62.3,64.8
105/03/02,4496648,65.1,65.4,64.4,64.6
105/03/03,9502927,64.5,65.9,64.4,65.9
105/03/04,6273357,65.8,66.3,65.2,66
105/03/07,7995254,66,67,66,67
105/03/08,7655057,67,67.2,66.1,67.2
105/03/09,7283777,66.9,66.9,65.7,66.5
105/03/10,6264952,66,66.5,65.4,65.8
105/03/11,6266835,65.8,66.8,65.3,65.8
105/03/14,5861124,66.3,66.3,65.1,65.6
105/03/15,5759379,65.6,65.8,64.4,64.8
105/03/16,6054235,64.8,65.7,64.8,65.7
105/03/17,7962084,66.2,66.8,64.7,65.5
105/03/18,14707009,65.8,67.1,65.6,67.1
105/03/21,6281795,67.8,68,66.5,67.3
105/03/22,5675683,67.5,67.5,66.2,67
105/03/23,3814074,67,67.3,66.3,66.9
105/03/24,4897635,66.7,67.5,66.3,67.5
105/03/25,2188551,67.8,67.9,66.6,66.7
105/03/28,3119438,67,67.5,66.3,67
105/03/29,3613496,66.2,66.8,66.1,66.5
105/03/30,8582215,66.9,67.8,66.9,67.6
105/03/31,9463200,68,68,66.8,67.6
105/04/01,5568639,66.7,67.2,66.5,66.9
105/04/06,8510806,66,66.2,65.1,66
105/04/07,8596112,65.5,65.9,64.6,64.8
105/04/08,5855497,64.5,65.8,64.4,65.6
105/04/11,2954942,64.8,65.5,64.5,65.5
105/04/12,3281946,65.5,66.2,64.7,65.3
105/04/13,6618192,65.3,66.4,65.1,65.3
105/04/14,7136813,65.9,66.3,64.8,65.1
105/04/15,7271623,65.2,66.3,65.2,66.3
105/04/18,5682498,66.3,66.8,66.1,66.3
105/04/19,5577281,66.6,66.6,65.9,66
105/04/20,9712397,66.5,66.6,64.5,64.5
105/04/21,5892338,64.5,64.7,63.8,64
105/04/22,7909255,64,65,64,65
105/04/25,4631599,64.9,65.4,64.3,64.5
105/04/26,6054716,64.9,65.2,64,64.3
105/04/27,8032446,64.7,65.2,64.5,65
105/04/28,8239438,65.4,65.4,63.8,64
105/04/29,5977455,63.5,64,63.1,63.2
105/05/03,3975421,63.8,64,62.5,62.7
105/05/04,8063666,62.4,62.5,60.2,60.6
105/05/05,8684399,61.2,61.3,59.9,60.5
105/05/06,9239559,60,60.6,59.6,60.2
105/05/09,7177367,60.6,62.1,60.2,61.5
105/05/10,6802191,61.1,62.2,60.6,61.9
105/05/11,6246836,62.4,62.4,60.5,61.7
105/05/12,2916397,60.6,61.8,60.6,61.4
105/05/13,9343310,60.7,61,59.5,59.5
105/05/16,4459347,59.5,60,59.4,59.7
105/05/17,6163305,59.7,60,58.6,59.4
105/05/18,6116645,59,59.5,58.6,59.3
105/05/19,7211860,59.1,59.5,58.7,59.4
105/05/20,6070618,59.4,59.7,59.2,59.2
105/05/23,5239557,59,61.2,58.6,60.8
105/05/24,3800158,60.9,61.1,60.2,60.3
105/05/25,4661270,61,61.3,60.3,61.1
105/05/26,2481238,60.8,61.1,60.7,60.7
105/05/27,4009328,61,61.8,60.7,60.8
105/05/30,4169229,61,62.2,60.8,61.9
105/05/31,13361755,61.1,62.2,61.1,62.2
105/06/01,6545527,61.5,62.2,61.4,62
105/06/02,6490506,62,62.2,61.4,61.7
105/06/03,5241085,62,62.4,61.7,62.4
105/06/04,1799056,62.4,62.6,62.3,62.5
105/06/06,4491676,62.5,63,61.1,61.7
105/06/07,6838141,62.3,62.8,62,62.8
105/06/08,9395019,63,63.5,62,62.4
