date,volume,open,high,low,close
105/03/01,19901228.00 ,36.9,38,36.85,37.5
105/03/02,22973300.00 ,38.15,38.55,38.05,38.3
105/03/03,16361503.00 ,38.4,38.6,38.1,38.25
105/03/04,9874822.00 ,38.25,38.3,37.55,38
105/03/07,14260497.00 ,38.2,38.25,37.35,37.8
105/03/08,15678384.00 ,37.2,38.2,37.2,38.2
105/03/09,15994467.00 ,38.1,38.15,36.9,37.4
105/03/10,17476266.00 ,36.9,37.55,36.8,37.1
105/03/11,17497886.00 ,37.25,37.7,37.05,37.5
105/03/14,12240470.00 ,37.9,37.9,37.05,37.15
105/03/15,19309463.00 ,37.2,37.35,35.7,36.2
105/03/16,22799820.00 ,36.2,36.25,35.6,35.85
105/03/17,14564030.00 ,36.4,36.8,36.3,36.5
105/03/18,19225602.00 ,36.75,36.9,36.35,36.9
105/03/21,13960025.00 ,36.9,36.95,36.3,36.95
105/03/22,15966092.00 ,37.1,37.1,36.15,36.5
105/03/23,20985514.00 ,36.7,37,36.5,36.95
105/03/24,18691421.00 ,36.55,36.9,36.45,36.7
105/03/25,5819448.00 ,37,37.2,36.65,36.7
105/03/28,5395214.00 ,37.05,37.05,36.5,36.8
105/03/29,8568523.00 ,36.7,37.05,36.6,36.85
105/03/30,26411266.00 ,36.95,37.15,36.7,36.8
105/03/31,20277351.00 ,37.2,37.5,36.9,37.45
105/04/01,15073682.00 ,36.65,36.95,36.35,36.35
105/04/06,19132221.00 ,35.65,35.85,35.3,35.3
105/04/07,19436826.00 ,35.2,35.3,34.4,34.7
105/04/08,14935550.00 ,34.7,35.15,34.65,34.7
105/04/11,10431957.00 ,34.7,35.4,34.7,35.4
105/04/12,11665718.00 ,35.25,35.4,34.4,34.6
105/04/13,13918960.00 ,34.7,35.3,34.65,35.05
105/04/14,18740587.00 ,35,35.05,34.6,34.95
105/04/15,19099443.00 ,34.8,35.1,34.45,34.55
105/04/18,22823297.00 ,34.5,34.55,34.05,34.3
105/04/19,32406615.00 ,34.9,35.35,34.8,35.25
105/04/20,27828387.00 ,35.4,35.45,34,34.35
105/04/21,17649656.00 ,34.5,34.55,34.15,34.5
105/04/22,40670341.00 ,34.05,34.1,33.65,33.9
105/04/25,35210969.00 ,33.6,33.85,32.3,32.8
105/04/26,13667183.00 ,32.9,33.45,32.85,33.3
105/04/27,18499199.00 ,33,33.05,32.6,32.75
105/04/28,30210183.00 ,32.75,32.85,31.9,32.2
105/04/29,63787819.00 ,31.55,31.55,30.25,30.35
105/05/03,42793034.00 ,31.2,31.5,30.5,31.05
105/05/04,41007610.00 ,30.7,30.8,30.1,30.35
105/05/05,55845797.00 ,29.8,30,28.9,29.35
105/05/06,30734127.00 ,29.2,29.6,29.1,29.4
105/05/09,18340390.00 ,29.45,29.55,29.15,29.45
105/05/10,16607559.00 ,29.45,29.85,29.4,29.75
105/05/11,18902696.00 ,30,30.1,29.3,29.9
105/05/12,18008163.00 ,29.1,29.45,29.1,29.3
105/05/13,35025706.00 ,28.7,28.95,28.45,28.65
105/05/16,40446669.00 ,28.1,30.2,28.1,29.4
105/05/17,21052381.00 ,28.8,29.5,28.8,29.25
105/05/18,18469116.00 ,29.1,29.45,28.8,29.25
105/05/19,22804440.00 ,29.15,29.35,28.9,29
105/05/20,26694702.00 ,29,29.6,28.95,29
105/05/23,58207202.00 ,29.7,31.7,29.35,31.25
105/05/24,60500316.00 ,31.7,33,31.55,32.45
105/05/25,40195926.00 ,33,33.4,32.8,33.05
105/05/27,37344548.00 ,36.35,36.35,36.35,36.35
105/05/30,129021361.00 ,37.3,37.35,36.5,36.9
105/05/31,44710719.00 ,36.9,37.15,36.55,36.9
105/06/01,22612306.00 ,36.1,36.6,36.1,36.35
105/06/02,26707480.00 ,36,36.7,35.95,36.7
105/06/03,20952318.00 ,36.85,37.15,36.75,36.95
105/06/04,4116308.00 ,36.7,36.95,36.45,36.45
105/06/06,10849309.00 ,36.8,36.95,36.2,36.45
105/06/07,20457872.00 ,36.6,37.15,36.45,36.95
105/06/08,17798147.00 ,36.95,37.1,36.7,36.95
105/06/13,20630241.00 ,36.5,36.7,35.9,36.1
105/06/14,14202060.00 ,35.65,35.95,35.15,35.65
105/06/15,11497432.00 ,35.7,36,35.35,35.65
105/06/16,14978138.00 ,35.65,35.85,35.1,35.25
105/06/17,15987646.00 ,35.25,35.95,35.2,35.65
105/06/20,11258162.00 ,36.25,36.4,36,36.35
105/06/21,11795095.00 ,36.35,36.35,35.9,35.95
105/06/22,15618619.00 ,36,36.1,35.4,35.6
105/06/23,8200207.00 ,35.6,35.65,35.4,35.6
105/06/24,22682328.00 ,35.8,36,34.35,34.95
105/06/27,8003993.00 ,34.55,35.5,34.55,35.15
105/06/28,11731818.00 ,34.8,35.5,34.7,35.4
105/06/29,20372546.00 ,35.5,35.95,35.45,35.7
