date,volume,open,high,low,close
105/03/01,33626757.00,76.80,77.90,76.80,77.70
105/03/02,37017482.00,78.70,79.50,78.20,79.50
105/03/03,47911415.00,80.50,80.50,79.50,80.50
105/03/04,64064567.00,81.00,83.00,80.50,82.90
105/03/07,41415199.00,83.10,83.80,81.50,81.60
105/03/08,35495757.00,81.60,83.00,81.10,83.00
105/03/09,22545828.00,82.70,83.30,82.20,82.80
105/03/10,22369892.00,83.30,83.50,82.80,83.00
105/03/11,21411465.00,83.00,83.20,82.30,83.20
105/03/14,25702309.00,83.80,84.00,83.40,84.00
105/03/15,34133063.00,84.00,84.20,82.00,82.30
105/03/16,26268551.00,82.60,84.00,82.60,83.00
105/03/17,25510531.00,83.90,84.10,82.50,82.50
105/03/18,61108150.00,83.00,84.00,82.90,84.00
105/03/21,26058738.00,84.40,84.60,83.50,84.50
105/03/22,23500975.00,84.50,84.50,83.50,84.30
105/03/23,21765794.00,84.00,84.50,83.60,84.20
105/03/24,22310548.00,84.10,84.90,83.50,84.50
105/03/25,9545967.00,84.80,84.80,83.80,83.80
105/03/28,25892636.00,84.70,85.00,84.30,84.50
105/03/29,25066364.00,85.00,85.00,83.20,83.70
105/03/31,82367366.00,86.10,86.80,84.00,84.80
105/04/01,32984173.00,84.10,84.60,83.00,83.00
105/04/06,42845227.00,83.20,83.20,81.20,81.20
105/04/07,27719716.00,81.00,81.90,80.30,81.50
105/04/08,19158544.00,81.10,81.90,80.90,81.90
105/04/11,11172615.00,81.80,81.90,80.70,81.20
105/04/12,15336442.00,81.80,82.60,81.20,82.00
105/04/13,34118996.00,82.30,83.80,82.30,83.70
105/04/14,23561652.00,83.00,83.80,82.40,82.40
105/04/15,18495433.00,82.20,83.20,81.70,82.90
105/04/18,14088317.00,83.20,83.20,82.50,82.60
105/04/19,18744362.00,82.80,83.30,81.20,81.50
105/04/20,51459224.00,81.10,82.40,79.20,79.20
105/04/21,20871346.00,79.80,80.50,79.50,80.30
105/04/22,17410609.00,81.10,81.10,80.30,81.00
105/04/25,14003524.00,81.10,81.40,80.20,80.30
105/04/26,18296084.00,80.00,81.20,80.00,80.20
105/04/27,25054153.00,79.90,80.20,79.30,79.50
105/04/28,30085745.00,80.00,80.20,78.60,78.60
105/04/29,38516302.00,77.10,77.70,77.10,77.10
105/05/03,31440331.00,77.00,77.10,75.60,75.60
105/05/04,33607879.00,75.60,76.40,74.90,75.70
105/05/05,24899964.00,75.70,76.10,75.00,75.40
105/05/06,46281315.00,75.40,75.50,73.60,73.80
105/05/09,38311047.00,74.00,74.20,72.50,72.60
105/05/10,29746734.00,72.60,74.80,72.50,74.80
105/05/11,27889767.00,74.80,75.50,73.40,74.00
105/05/12,26316063.00,73.90,74.10,73.00,73.30
105/05/13,63339780.00,75.00,75.40,73.50,74.40
105/05/16,26475300.00,74.10,74.40,73.50,74.00
105/05/17,29030680.00,74.20,74.70,74.00,74.30
105/05/18,28906865.00,74.30,74.50,73.50,74.40
105/05/19,25348906.00,74.40,74.70,73.80,74.20
105/05/20,24261731.00,74.30,74.80,74.00,74.00
105/05/23,52975328.00,74.40,77.70,74.20,77.40
105/05/24,26754761.00,77.30,77.40,76.40,76.40
105/05/25,46903474.00,77.50,79.70,77.40,78.40
105/05/26,18307909.00,78.50,79.00,78.00,78.10
105/05/27,20091932.00,78.60,78.90,78.10,78.40
105/05/30,25266400.00,79.00,79.90,78.50,79.50
105/05/31,66579085.00,79.50,80.10,79.10,80.10
105/06/01,28491260.00,79.60,81.00,79.60,80.60
105/06/02,29009876.00,80.70,80.80,79.20,79.30
105/06/03,17414792.00,79.50,80.20,79.50,80.00
105/06/04,5532986.00,79.90,80.30,79.70,80.20
105/06/06,21625003.00,79.80,81.40,79.60,80.20
105/06/07,31493323.00,80.80,81.20,80.60,81.10
105/06/08,37351639.00,81.50,82.00,81.10,81.30
105/06/13,48285489.00,79.90,80.00,78.60,78.60
105/06/14,26410813.00,78.00,79.90,78.00,79.90
105/06/15,21566955.00,79.30,80.30,79.20,80.20
105/06/16,28763098.00,79.50,79.60,78.60,78.80
105/06/17,33517439.00,79.20,80.10,79.00,79.30
105/06/20,25729544.00,80.40,80.80,80.10,80.50
105/06/21,24933754.00,80.30,81.00,80.10,80.70
105/06/22,27195855.00,80.70,81.50,80.70,81.50
105/06/23,49044179.00,82.00,83.00,82.00,82.90
105/06/24,64170772.00,83.20,83.20,80.60,81.50
105/06/27,20747307.00,81.00,82.10,80.80,82.00
105/06/28,26680486.00,81.20,82.50,80.80,82.50
105/06/29,20873510.00,82.00,82.90,82.00,82.50
105/06/30,27817765.00,82.70,82.90,82.20,82.50
105/07/01,25594003.00,82.50,83.40,82.50,82.70
105/07/04,25249085.00,83.30,83.50,83.00,83.30
105/07/05,17271233.00,83.00,83.30,82.60,83.00
105/07/06,26713814.00,82.50,82.50,81.50,81.50
105/07/07,16964851.00,82.00,82.30,81.70,82.10
105/07/11,33141165.00,82.20,83.00,82.20,82.50
105/07/12,32630740.00,82.60,83.50,82.60,83.30
105/07/13,30235188.00,83.90,83.90,83.00,83.50
105/07/14,19334919.00,83.50,83.60,83.00,83.50
105/07/15,34163621.00,83.70,84.80,83.70,84.50
105/07/18,42513816.00,85.40,86.00,85.00,86.00
105/07/19,34955345.00,86.40,86.40,85.60,86.20
105/07/20,28845013.00,85.80,86.30,85.60,86.00
105/07/21,51008107.00,86.30,88.00,86.20,87.40
105/07/22,34959682.00,87.70,87.90,87.20,87.60
105/07/25,34004543.00,87.40,88.00,85.60,87.60
105/07/26,28924264.00,87.50,87.90,86.70,87.80
105/07/27,47025401.00,88.40,89.50,88.30,89.00
105/07/28,28783791.00,89.40,89.40,88.50,89.00
105/07/29,29462507.00,89.00,89.00,87.90,87.90
105/08/01,35252603.00,87.80,89.00,87.80,88.80
105/08/02,17857759.00,88.80,89.00,88.50,88.50
105/08/03,28265281.00,87.50,88.30,87.40,87.50
105/08/04,16706468.00,88.00,88.00,87.50,88.00
105/08/05,21977674.00,88.00,88.80,87.80,88.40
105/08/08,38003972.00,89.20,90.00,89.00,90.00
105/08/09,27157080.00,90.00,90.10,89.20,89.90
105/08/10,21467637.00,89.90,90.00,89.60,90.00
105/08/11,32700410.00,89.40,89.70,88.40,89.50
105/08/12,120062589.00,86.50,87.80,86.00,86.20
105/08/15,42295410.00,85.80,87.20,85.50,87.20
105/08/16,35385178.00,87.00,87.20,86.10,86.20
105/08/17,71503379.00,86.00,86.10,84.80,85.00
105/08/18,41301784.00,84.90,86.00,84.50,85.70
105/08/19,37607364.00,86.00,86.70,85.20,85.30
105/08/22,25392740.00,85.20,85.60,85.00,85.40
105/08/23,32195237.00,85.20,85.90,85.20,85.80
105/08/24,43804037.00,86.20,87.10,86.10,86.70
105/08/25,57438373.00,86.90,88.50,86.90,88.50
105/08/26,38907883.00,88.90,89.00,88.10,88.50
105/08/29,63998105.00,89.00,89.70,88.40,89.30
105/08/30,45965196.00,89.30,89.50,88.70,89.00
105/08/31,68836583.00,88.70,88.90,88.00,88.00
105/09/01,103889999.00,87.20,87.80,86.80,87.40
105/09/02,158664535.00,76.60,77.90,76.30,77.20
105/09/05,44625629.00,77.90,78.40,77.60,78.20
105/09/06,51022095.00,78.80,79.90,78.60,79.80
105/09/07,59399913.00,80.40,80.80,79.50,79.50
105/09/08,50257398.00,79.60,79.70,78.50,78.50
105/09/09,36760350.00,77.80,77.90,77.50,77.70
105/09/10,23404331.00,76.80,78.30,76.70,78.00
105/09/12,31237702.00,78.00,78.20,77.50,77.50
105/09/13,37723869.00,78.30,78.50,76.80,77.20
105/09/14,43959603.00,77.20,78.20,77.20,77.40
105/09/19,76667029.00,79.90,80.50,79.20,80.40
105/09/20,41417392.00,80.50,80.70,80.00,80.20
105/09/21,29174757.00,79.90,80.10,79.30,80.00
105/09/22,31624566.00,80.30,80.80,79.30,79.60
105/09/23,30788582.00,79.90,80.00,79.40,79.80
105/09/26,32605029.00,79.10,79.40,78.60,78.90
105/09/29,49890235.00,79.80,80.00,79.30,79.80
105/09/30,33180637.00,79.20,79.50,79.00,79.00
105/10/03,23921302.00,79.80,79.80,79.20,79.20
105/10/04,19839984.00,79.00,79.50,78.90,79.50
105/10/05,14224693.00,79.10,79.80,79.10,79.60
105/10/06,24815554.00,80.20,80.30,80.00,80.20
105/10/07,15318995.00,80.50,80.50,80.00,80.00
105/10/11,51744756.00,81.00,81.90,80.50,81.10
105/10/12,38592633.00,81.50,81.70,80.90,81.60
105/10/13,34881026.00,82.10,82.40,81.60,81.80
105/10/14,22420059.00,81.60,81.70,80.70,81.20
105/10/17,29655889.00,80.80,82.00,80.40,81.90
105/10/18,32868087.00,81.90,82.20,81.60,82.10
