date,volume,open,high,low,close
105/03/01,4284777.00 ,235.00 ,245.00 ,233.00 ,233.00 
105/03/02,2216995.00 ,234.50 ,237.50 ,228.00 ,230.00 
105/03/03,1019841.00 ,230.00 ,234.00 ,227.50 ,230.00 
105/03/04,1143209.00 ,230.50 ,234.50 ,230.50 ,234.50 
105/03/07,583959.00 ,234.50 ,235.00 ,229.50 ,231.00 
105/03/08,893527.00 ,232.00 ,238.00 ,232.00 ,237.00 
105/03/09,1170511.00 ,235.00 ,235.00 ,228.50 ,230.00 
105/03/10,609569.00 ,231.00 ,235.00 ,231.00 ,235.00 
105/03/11,422689.00 ,235.00 ,238.00 ,235.00 ,235.00 
105/03/14,330506.00 ,235.50 ,237.50 ,234.00 ,235.00 
105/03/15,981610.00 ,235.00 ,237.00 ,233.00 ,234.50 
105/03/16,935636.00 ,236.00 ,236.50 ,234.00 ,235.00 
105/03/17,1944801.00 ,240.00 ,244.50 ,240.00 ,244.00 
105/03/18,1309694.00 ,244.00 ,244.50 ,239.00 ,244.00 
105/03/21,1145760.00 ,244.00 ,244.00 ,233.00 ,235.00 
105/03/22,689457.00 ,236.50 ,239.00 ,235.00 ,239.00 
105/03/23,902048.00 ,238.50 ,242.00 ,237.50 ,242.00 
105/03/24,713462.00 ,241.00 ,241.50 ,239.00 ,240.00 
105/03/25,603605.00 ,240.00 ,240.00 ,234.00 ,235.00 
105/03/28,691900.00 ,233.00 ,240.00 ,233.00 ,235.50 
105/03/29,306252.00 ,235.50 ,237.50 ,234.50 ,236.50 
105/03/30,1217239.00 ,236.00 ,238.00 ,234.50 ,235.00 
105/03/31,1303141.00 ,237.50 ,239.00 ,236.00 ,236.50 
105/04/01,625078.00 ,234.50 ,236.00 ,231.50 ,235.00 
105/04/06,1097178.00 ,230.00 ,230.00 ,225.50 ,227.00 
105/04/07,507137.00 ,225.00 ,229.00 ,225.00 ,227.50 
105/04/08,946560.00 ,225.00 ,226.00 ,222.50 ,226.00 
105/04/11,613900.00 ,233.00 ,233.00 ,227.00 ,229.00 
105/04/12,747900.00 ,230.50 ,231.00 ,224.00 ,224.00 
105/04/13,609191.00 ,225.00 ,228.50 ,225.00 ,228.50 
105/04/14,768514.00 ,230.00 ,236.00 ,229.50 ,231.50 
105/04/15,522267.00 ,230.50 ,234.50 ,230.50 ,232.50 
105/04/18,374556.00 ,231.50 ,234.50 ,230.00 ,231.50 
105/04/19,883644.00 ,231.50 ,235.00 ,224.50 ,225.50 
105/04/20,1033124.00 ,229.00 ,231.50 ,224.00 ,224.00 
105/04/21,645085.00 ,226.00 ,227.00 ,224.50 ,226.50 
105/04/22,510397.00 ,226.50 ,226.50 ,221.50 ,222.50 
