date,volume,open,high,low,close
105/03/01,40270614.00 ,9.10 ,9.15 ,9.01 ,9.04 
105/03/02,91553691.00 ,9.19 ,9.32 ,9.13 ,9.18 
105/03/03,92919551.00 ,9.25 ,9.44 ,9.15 ,9.19 
105/03/04,87600208.00 ,9.18 ,9.22 ,9.05 ,9.08 
105/03/07,73234301.00 ,9.15 ,9.15 ,8.95 ,8.95 
105/03/08,107437015.00 ,8.97 ,9.31 ,8.97 ,9.30 
105/03/09,86974413.00 ,9.38 ,9.38 ,9.25 ,9.30 
105/03/10,162594270.00 ,9.35 ,9.80 ,9.27 ,9.70 
105/03/11,79209559.00 ,9.69 ,9.77 ,9.62 ,9.70 
105/03/14,104803275.00 ,9.79 ,10.05 ,9.74 ,9.83 
105/03/15,147545212.00 ,9.93 ,10.05 ,9.78 ,9.78 
105/03/16,134595020.00 ,9.95 ,10.15 ,9.94 ,10.05 
105/03/17,120323582.00 ,10.15 ,10.35 ,9.86 ,9.86 
105/03/18,56933700.00 ,9.90 ,10.05 ,9.85 ,9.93 
105/03/21,29104799.00 ,9.98 ,9.99 ,9.83 ,9.95 
105/03/22,80945168.00 ,9.97 ,9.97 ,9.51 ,9.75 
105/03/23,36717507.00 ,9.64 ,9.87 ,9.64 ,9.72 
105/03/24,50186387.00 ,9.72 ,9.79 ,9.54 ,9.54 
105/03/25,23353346.00 ,9.60 ,9.63 ,9.50 ,9.55 
105/03/28,68037374.00 ,9.60 ,9.99 ,9.60 ,9.73 
105/03/29,63517097.00 ,9.73 ,9.93 ,9.60 ,9.60 
105/03/30,66604796.00 ,9.78 ,9.85 ,9.73 ,9.75 
105/03/31,53238955.00 ,9.76 ,9.81 ,9.62 ,9.67 
105/04/01,45841784.00 ,9.61 ,9.64 ,9.43 ,9.51 
105/04/06,46942356.00 ,9.37 ,9.38 ,9.20 ,9.20 
105/04/07,44222219.00 ,9.22 ,9.26 ,9.01 ,9.01 
105/04/08,133528526.00 ,9.28 ,9.80 ,9.24 ,9.71 
105/04/11,79619841.00 ,9.68 ,9.85 ,9.53 ,9.85 
105/04/12,58550012.00 ,9.93 ,9.99 ,9.69 ,9.69 
105/04/13,44376906.00 ,9.81 ,9.93 ,9.81 ,9.86 
105/04/14,52773922.00 ,9.99 ,10.10 ,9.88 ,9.88 
105/04/15,24983022.00 ,9.87 ,9.93 ,9.79 ,9.90 
105/04/18,38714455.00 ,9.90 ,10.05 ,9.85 ,9.98 
105/04/19,55025699.00 ,10.05 ,10.10 ,9.82 ,9.82 
105/04/20,37469437.00 ,9.90 ,9.90 ,9.73 ,9.81 
105/04/21,33925086.00 ,9.95 ,10.05 ,9.83 ,9.89 
105/04/22,40819294.00 ,9.93 ,9.99 ,9.81 ,9.90 
105/04/25,34572948.00 ,9.86 ,9.86 ,9.72 ,9.74 
105/04/26,45326299.00 ,9.65 ,9.74 ,9.51 ,9.52 
105/04/27,38769105.00 ,9.56 ,9.78 ,9.52 ,9.57 
105/04/28,34680539.00 ,9.69 ,9.71 ,9.42 ,9.54 
105/04/29,37441435.00 ,9.40 ,9.44 ,9.31 ,9.40 
105/05/03,70924513.00 ,9.35 ,9.35 ,9.01 ,9.02 
105/05/04,65759124.00 ,8.91 ,9.02 ,8.70 ,8.72 
105/05/05,56604709.00 ,8.71 ,8.82 ,8.57 ,8.67 
105/05/06,40652675.00 ,8.70 ,8.71 ,8.60 ,8.63 
105/05/09,51369549.00 ,8.73 ,8.98 ,8.73 ,8.81 
105/05/10,30243311.00 ,8.77 ,8.79 ,8.71 ,8.72 
105/05/11,42057084.00 ,8.78 ,8.87 ,8.58 ,8.58 
105/05/12,38348580.00 ,8.58 ,8.77 ,8.55 ,8.75 
105/05/13,40463806.00 ,8.70 ,8.70 ,8.50 ,8.58 
105/05/16,30611080.00 ,8.51 ,8.63 ,8.50 ,8.58 
105/05/17,34551039.00 ,8.58 ,8.62 ,8.51 ,8.55 
105/05/18,43763931.00 ,8.50 ,8.52 ,8.41 ,8.45 
105/05/19,39388215.00 ,8.44 ,8.53 ,8.41 ,8.41 
105/05/20,45469715.00 ,8.43 ,8.63 ,8.41 ,8.55 
105/05/23,98817465.00 ,8.63 ,9.19 ,8.62 ,9.07 
105/05/24,41896490.00 ,8.92 ,9.02 ,8.89 ,8.89 
105/05/25,35023375.00 ,9.10 ,9.11 ,8.95 ,8.96 
105/05/26,22125093.00 ,9.00 ,9.03 ,8.91 ,8.97 
105/05/27,30356940.00 ,9.04 ,9.07 ,8.97 ,9.02 
105/05/30,35390129.00 ,9.02 ,9.02 ,8.91 ,8.92 
105/05/31,49995439.00 ,8.93 ,9.10 ,8.92 ,9.06 
105/06/01,69000717.00 ,9.11 ,9.40 ,9.11 ,9.32 
105/06/02,43925815.00 ,9.33 ,9.38 ,9.14 ,9.20 
105/06/03,30868060.00 ,9.21 ,9.29 ,9.12 ,9.15 
105/06/04,8896804.00 ,9.22 ,9.25 ,9.16 ,9.19 
105/06/06,68457715.00 ,9.25 ,9.62 ,9.25 ,9.29 
105/06/07,32302436.00 ,9.40 ,9.43 ,9.26 ,9.34 
105/06/08,34576661.00 ,9.34 ,9.38 ,9.25 ,9.31 
105/06/13,38912293.00 ,9.26 ,9.32 ,9.05 ,9.05 
105/06/14,25480465.00 ,9.04 ,9.26 ,9.04 ,9.25 
105/06/15,26018078.00 ,9.24 ,9.30 ,9.12 ,9.27 
105/06/16,47906620.00 ,9.30 ,9.30 ,9.08 ,9.13 
105/06/17,56017472.00 ,9.28 ,9.39 ,9.18 ,9.19 
105/06/20,36721055.00 ,9.49 ,9.49 ,9.35 ,9.40 
105/06/21,45681428.00 ,9.46 ,9.49 ,9.32 ,9.32 
105/06/22,29596114.00 ,9.35 ,9.43 ,9.32 ,9.43 
105/06/23,34347279.00 ,9.50 ,9.50 ,9.38 ,9.42 
105/06/24,81817815.00 ,9.50 ,9.59 ,9.27 ,9.35 
105/06/27,43100369.00 ,9.26 ,9.55 ,9.26 ,9.54 
105/06/28,59534025.00 ,9.50 ,9.73 ,9.47 ,9.70 
105/06/29,230454766.00 ,10.00 ,10.35 ,9.97 ,10.25 
105/06/30,253845754.00 ,10.55 ,11.00 ,10.50 ,10.95 
105/07/01,161129647.00 ,11.35 ,11.40 ,10.85 ,11.00 
105/07/04,96694829.00 ,11.00 ,11.30 ,10.90 ,11.20 
105/07/05,77552029.00 ,11.20 ,11.40 ,11.10 ,11.25 
105/07/06,95828720.00 ,11.15 ,11.20 ,11.00 ,11.00 
105/07/07,150781444.00 ,10.90 ,11.20 ,10.80 ,10.90 
105/07/11,109147764.00 ,11.20 ,11.30 ,11.00 ,11.10 
105/07/12,67826797.00 ,11.10 ,11.15 ,10.80 ,10.90 
105/07/13,112677766.00 ,11.00 ,11.30 ,10.85 ,11.30 
105/07/14,63050601.00 ,11.25 ,11.40 ,11.10 ,11.15 
105/07/15,56752747.00 ,11.20 ,11.35 ,11.15 ,11.25 
105/07/18,119031201.00 ,11.40 ,11.85 ,11.40 ,11.75 
105/07/19,212565423.00 ,12.00 ,12.25 ,11.75 ,12.25 
105/07/20,100409457.00 ,12.30 ,12.35 ,12.10 ,12.25 
105/07/21,232732041.00 ,12.50 ,13.20 ,12.50 ,12.75 
105/07/22,122082105.00 ,12.85 ,12.85 ,12.35 ,12.60 
105/07/25,123395255.00 ,12.70 ,12.80 ,12.05 ,12.30 
105/07/26,114027218.00 ,12.30 ,12.55 ,12.20 ,12.45 
105/07/27,178522042.00 ,12.55 ,13.00 ,12.45 ,12.65 
105/07/28,203055684.00 ,13.30 ,13.35 ,12.85 ,12.90 
105/07/29,102096672.00 ,13.00 ,13.05 ,12.75 ,12.95 
105/08/01,61452307.00 ,13.05 ,13.10 ,12.80 ,12.90 
105/08/02,59641353.00 ,12.95 ,13.05 ,12.90 ,13.05 
105/08/03,90530430.00 ,13.00 ,13.15 ,12.85 ,13.05 
105/08/04,45809465.00 ,13.10 ,13.15 ,12.90 ,13.00 
105/08/05,138907895.00 ,13.10 ,13.45 ,13.00 ,13.35 
105/08/08,99890486.00 ,13.65 ,13.75 ,13.55 ,13.60 
105/08/09,67895389.00 ,13.60 ,13.60 ,13.25 ,13.35 
105/08/10,87327203.00 ,13.30 ,13.30 ,12.80 ,13.00 
105/08/11,117753113.00 ,12.95 ,12.95 ,12.50 ,12.70 
105/08/12,52485658.00 ,12.80 ,12.85 ,12.55 ,12.70 
105/08/15,113899853.00 ,12.70 ,12.70 ,12.15 ,12.15 
105/08/16,105173553.00 ,12.10 ,12.45 ,12.10 ,12.45 
105/08/17,69216032.00 ,12.50 ,12.65 ,12.15 ,12.30 
105/08/18,48530189.00 ,12.30 ,12.30 ,12.10 ,12.25 
105/08/19,129976076.00 ,12.50 ,12.95 ,12.50 ,12.70 
105/08/22,78511698.00 ,12.85 ,12.90 ,12.55 ,12.70 
105/08/23,63026719.00 ,12.65 ,12.80 ,12.50 ,12.60 
105/08/24,67080429.00 ,12.70 ,12.75 ,12.30 ,12.40 
105/08/25,122774868.00 ,12.55 ,12.95 ,12.50 ,12.95 
105/08/26,45825926.00 ,12.95 ,12.95 ,12.80 ,12.85 
105/08/29,54589205.00 ,12.75 ,12.80 ,12.35 ,12.55 
105/08/30,42059596.00 ,12.70 ,12.85 ,12.60 ,12.85 
105/08/31,85211205.00 ,12.80 ,12.80 ,12.40 ,12.50 
105/09/01,75717013.00 ,12.30 ,12.35 ,12.10 ,12.10 
105/09/02,108490469.00 ,12.15 ,12.15 ,11.55 ,11.75 
105/09/05,88303922.00 ,11.95 ,12.25 ,11.90 ,12.20 
