date,volume,open,high,low,close
105/03/01,743992.00,33.80,34.30,33.80,34.10
105/03/02,878995.00,34.30,34.45,33.90,34.40
105/03/03,1109574.00,34.30,34.55,34.10,34.30
105/03/04,1492320.00,34.00,34.00,33.00,33.40
105/03/07,964635.00,33.25,34.00,33.25,34.00
105/03/08,1708829.00,33.30,34.10,33.10,33.80
105/03/09,850558.00,33.50,33.90,33.40,33.70
105/03/10,380066.00,33.70,34.00,33.65,34.00
105/03/11,471125.00,34.00,34.30,33.75,34.30
105/03/14,654182.00,34.30,34.50,33.90,34.35
105/03/15,740889.00,33.80,34.55,33.80,34.40
105/03/16,1157267.00,34.45,34.90,34.15,34.90
105/03/17,1010898.00,34.90,35.10,34.80,35.10
105/03/18,914516.00,35.10,35.20,34.85,35.20
105/03/21,782668.00,35.20,35.45,34.95,35.45
105/03/22,985907.00,35.40,35.50,35.10,35.45
105/03/23,902715.00,35.10,35.40,35.00,35.10
105/03/24,928817.00,35.00,35.10,34.60,35.10
105/03/25,614209.00,35.10,35.15,34.75,35.05
105/03/28,557579.00,35.05,35.05,34.70,34.80
105/03/29,1221861.00,34.85,34.85,33.05,33.40
105/03/30,671750.00,33.40,33.75,33.05,33.50
105/03/31,852244.00,33.50,33.85,33.50,33.65
105/04/01,666422.00,33.70,33.70,33.35,33.50
105/04/06,227622.00,33.00,33.15,32.75,32.80
105/04/07,360341.00,32.70,32.70,32.50,32.60
105/04/08,378546.00,32.50,32.55,32.20,32.30
105/04/11,226309.00,32.15,32.20,31.45,31.90
105/04/12,438660.00,31.85,31.85,30.90,30.95
105/04/13,273855.00,30.95,31.25,30.95,31.05
105/04/14,156159.00,31.50,31.50,31.15,31.30
105/04/15,205000.00,31.30,31.70,31.20,31.25
105/04/18,416683.00,31.10,31.10,30.60,30.80
105/04/19,148124.00,30.80,31.15,30.80,30.90
105/04/20,332688.00,31.10,31.25,30.30,30.70
105/04/21,208488.00,30.70,30.70,30.25,30.45
105/04/22,213849.00,30.45,30.80,30.00,30.05
105/04/25,250141.00,30.05,30.25,29.80,29.80
105/04/26,654462.00,30.00,32.70,29.80,32.00
105/04/27,320110.00,32.00,32.50,31.45,31.60
105/04/28,274416.00,31.60,31.65,31.05,31.60
105/04/29,413866.00,31.60,31.60,30.50,31.20
105/05/03,246195.00,30.90,31.10,30.50,30.50
105/05/04,151942.00,30.50,30.95,30.30,30.80
105/05/05,263000.00,31.00,31.00,30.35,30.60
105/05/06,112378.00,30.45,30.60,30.45,30.55
105/05/09,114244.00,30.55,30.70,30.45,30.55
105/05/10,276682.00,30.75,30.85,30.50,30.60
105/05/11,183823.00,30.60,30.65,30.50,30.60
105/05/12,1965114.00,30.60,32.10,30.40,31.25
105/05/13,635004.00,31.00,31.00,30.50,30.80
105/05/16,1879043.00,30.90,30.90,29.65,30.90
105/05/17,646177.00,30.95,31.30,30.75,31.15
105/05/18,568634.00,31.15,31.80,31.05,31.65
105/05/19,664789.00,31.90,31.90,31.35,31.45
